 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------
   9999.51 | Supplier#000932819        | ETHIOPIA                  |  16432786 | Manufacturer#4            | lAfbY1DjEjk0Jw49aihH1p S                 | 15-834-399-8134 | ng the quickly enticing pinto beans wake bl
   9999.17 | Supplier#000486146        | MOZAMBIQUE                |   7236138 | Manufacturer#3            | 40l5sLg2eWtzXOyvl,yS J                   | 26-462-346-4863 | ongside of the carefully regular requests. requests are slyly pend
   9999.01 | Supplier#000021095        | ALGERIA                   |  17771077 | Manufacturer#5            | sjQfEpK2SXw4ELqOvpMrM,Gu9IENOp5          | 10-550-110-7881 | ending, blithe requests wake. b
   9998.88 | Supplier#000067110        | ALGERIA                   |  14817095 | Manufacturer#5            | LCezSWsDk4yf1b6NKhOSmvoUV                | 10-305-873-4840 | t the pending, final foxes wake blithely unusual accounts; special accounts alo
   9998.43 | Supplier#000443769        | ALGERIA                   |  13193755 | Manufacturer#3            | ZkUNy BJHzT                              | 10-820-430-2699 | tructions! close, silent accounts haggle fluffily quickly pending deposits. regular pinto b
   9998.43 | Supplier#000443769        | ALGERIA                   |  18443768 | Manufacturer#5            | ZkUNy BJHzT                              | 10-820-430-2699 | tructions! close, silent accounts haggle fluffily quickly pending deposits. regular pinto b
   9997.00 | Supplier#000739877        | MOZAMBIQUE                |  11239854 | Manufacturer#1            | pcICElbgdVCD                             | 26-335-788-1287 |  packages. sometimes sly accoun
   9996.77 | Supplier#000709045        | ETHIOPIA                  |    959044 | Manufacturer#2            | MXZmoym6IWWM6v0                          | 15-324-568-5841 | ously. quickly final packages grow fluffily. carefully final 
   9996.51 | Supplier#000254110        | ALGERIA                   |   9004100 | Manufacturer#4            | W6vv5WSgyfy3cYJtKLD6,NWnVS               | 10-956-786-7688 |  to the final excuses. blithely regular theodolites
   9996.00 | Supplier#000397430        | ETHIOPIA                  |   9147420 | Manufacturer#2            | m,Lphx77g5iK2Y96McqY3mJeGW,sH            | 15-678-906-5886 | usual theodolites dazzle slyly special, busy dependencies. blithely bold pinto beans wake furiously 
   9995.86 | Supplier#000181793        | ETHIOPIA                  |   6181792 | Manufacturer#3            | sf3Eewp7iZHrSk7f84ET3ceWCsRXaMEkWMNT     | 15-990-505-8271 | its affix. carefully even dependencies are quickly ironic accounts. accounts above the i
   9995.86 | Supplier#000181793        | ETHIOPIA                  |  16431744 | Manufacturer#4            | sf3Eewp7iZHrSk7f84ET3ceWCsRXaMEkWMNT     | 15-990-505-8271 | its affix. carefully even dependencies are quickly ironic accounts. accounts above the i
   9995.50 | Supplier#000547447        | MOZAMBIQUE                |  17547446 | Manufacturer#3            | Ji,4lGi99h5V4CTB IUtVIxJuN               | 26-286-534-3062 | sits among the pending instructions detect blithely against the quickly
   9995.49 | Supplier#000249612        | ALGERIA                   |   4249611 | Manufacturer#2            | oL2hY2EIF6jjJSVLkbw,f8RYqbfGhCH          | 10-394-121-8539 | nal frets are furiously quickly ironic dependencies. slyly even foxes along the furi
   9995.38 | Supplier#000020360        | MOROCCO                   |   8020359 | Manufacturer#4            | p4dmVmNU1tn gJuLfW06jfz6tHW2gzyx5Naz     | 25-995-683-3624 | ake at the blithely ironic packages. quickly even theodolites integra
   9995.04 | Supplier#000155192        | MOROCCO                   |  13155191 | Manufacturer#2            | NkmeHBFD8HqT8KfQgj5 2l                   | 25-280-879-7547 | egular theodolites. instructions wake blithely requests-- ironic accounts grow daringly regular
   9994.25 | Supplier#000145285        | ETHIOPIA                  |  16145284 | Manufacturer#3            | 1xv h4Gjg6GIdu rWhzVi bU6                | 15-142-645-2574 | y. final ideas sleep carefully blithely even dolphins. slyly final somas use blithely. idea
   9993.82 | Supplier#000352374        | KENYA                     |  19602316 | Manufacturer#4            | oNuSTHFXQMNGIee                          | 24-308-766-2422 | cally pending pains haggle against the carefully permanent requests? forges above the fluf
   9993.30 | Supplier#000729126        | KENYA                     |  14979083 | Manufacturer#1            | IE7m pHlOHzJU5uMzIVv3naiOsSC             | 24-407-317-9642 | busy requests. regular deposits about the ironic deposits haggle carefully slyly regul
   9992.74 | Supplier#000777991        | KENYA                     |  15527975 | Manufacturer#2            | KlbxGlXQDlBkNIohOVUv                     | 24-458-586-5548 | boldly blithe instructions haggle car
   9992.62 | Supplier#000880081        | KENYA                     |   4880080 | Manufacturer#2            | ivXhQGmTzW7I9 bpqxL2BtnmkCcrGYI          | 24-688-697-3814 | nstructions sleep furiously express dolphins. care
   9992.56 | Supplier#000880280        | MOZAMBIQUE                |  10630269 | Manufacturer#2            | reMgCIx1K vTTUTm6U8Fhb                   | 26-451-533-2812 | ts. furiously final accounts sleep quickly. carefully regular pinto beans aft
   9991.82 | Supplier#000013431        | MOROCCO                   |  12013430 | Manufacturer#3            | ja7Y 6cwzHMj7qv0BmQ2xcj09iY              | 25-449-471-6608 | oost blithely slyly unusual requests. quickly even theodolites sleep. slyly regular 
   9991.66 | Supplier#000961485        | ALGERIA                   |  16711468 | Manufacturer#3            | G wEatCVDqJwbUJXHXY                      | 10-663-926-2755 | fully express pinto beans. blithely final instructions would serv
   9990.94 | Supplier#000910468        | MOROCCO                   |   9160440 | Manufacturer#3            | PKBGToJjc3TzQ                            | 25-477-132-5747 | he sometimes special foxes are blithely pending Tiresias. pinto beans sleep quickly packages. bli
   9990.80 | Supplier#000191174        | ALGERIA                   |   4691165 | Manufacturer#1            | OnttP7Shc WisBkCC                        | 10-719-788-6957 | ic deposits. final dependencies are carefully final ideas. regular, unus
   9990.75 | Supplier#000445855        | MOZAMBIQUE                |  19695797 | Manufacturer#1            | 0IgxBKBoEDsdxXb                          | 26-315-250-1126 |  are fluffily about the fluffy deposits. slyly express accounts wake. carefully thi
   9990.68 | Supplier#000133093        | KENYA                     |   5133092 | Manufacturer#3            | LjJ4RBa2tirwDz6jpmyS                     | 24-409-690-3780 | iously express instructions. slyly special braids wake. final
   9990.43 | Supplier#000232643        | MOZAMBIQUE                |  19732604 | Manufacturer#5            | bfwFO6QISuHRg UDf96yJgz                  | 26-829-348-9246 | lar theodolites use carefully. special requests detect along the slyly pending plat
   9990.33 | Supplier#000302403        | MOZAMBIQUE                |   3802396 | Manufacturer#4            | rEURGQ4FsuuQoISZ4,kLElM0nBFB             | 26-699-594-3328 | the carefully pending packages. slyly
   9990.32 | Supplier#000321189        | ALGERIA                   |   9821170 | Manufacturer#2            | aYl7OGNJmd0fUpca                         | 10-439-919-3826 | ular accounts: carefully regular packages affix furiously about the asymptotes.
   9990.32 | Supplier#000321189        | ALGERIA                   |  19571131 | Manufacturer#4            | aYl7OGNJmd0fUpca                         | 10-439-919-3826 | ular accounts: carefully regular packages affix furiously about the asymptotes.
   9990.27 | Supplier#000545516        | ALGERIA                   |  18295497 | Manufacturer#1            | GldqP8PO e                               | 10-149-311-6097 | timents sleep slyly ironic accounts. quickly ironic packages sleep
   9990.03 | Supplier#000581744        | ALGERIA                   |  15581743 | Manufacturer#2            | BPzxSui66eVtqtzwHwh1x32xt45B             | 10-259-720-4358 | ter the furiously permanent requests! bold, ironic dep
   9989.83 | Supplier#000283744        | KENYA                     |     33743 | Manufacturer#5            | IoZEyel8ZXl9XYvN NY2g9nHLn               | 24-801-255-4130 | . quickly even requests are alongside of the blithely express acco
   9989.78 | Supplier#000634059        | KENYA                     |  16884010 | Manufacturer#2            | dDPoj6fB rWA4Q                           | 24-867-273-4277 | regular accounts wake furiously after the regular requests. furio
   9989.66 | Supplier#000287590        | KENYA                     |  15787559 | Manufacturer#4            | d9iEl2uIrcsQC1                           | 24-198-363-7119 | are carefully across the blithely bold deposits. grouches use sometimes across the t
   9989.64 | Supplier#000360924        | ALGERIA                   |  14360923 | Manufacturer#1            | zS3fgmBJ0zEskdkRQEPQKvTnmXm              | 10-790-223-9314 | equests. even, bold ideas around the slyly pending reque
   9989.56 | Supplier#000976226        | MOROCCO                   |   8726217 | Manufacturer#3            | Fx,pCRBsUqvvp7 HcqSieqT0lmVGt            | 25-146-169-9554 | y even requests. even packages 
   9989.49 | Supplier#000581891        | ALGERIA                   |   2581890 | Manufacturer#1            | JyCWFxKbdeFpC6DhL,                       | 10-640-179-7430 | l packages use toward the deposits. ironic excuses abou
   9989.42 | Supplier#000107947        | KENYA                     |   6107946 | Manufacturer#1            | b,9d0xrDUZSPhDgmRex1W7t2ZDf9JR           | 24-981-576-8190 | ent accounts alongside of the 
   9989.09 | Supplier#000054955        | MOZAMBIQUE                |   5054954 | Manufacturer#4            | rvxRIW20l9OzYZECQ0ol                     | 26-934-366-6971 |  theodolites. ironic packages are car
   9988.44 | Supplier#000628280        | ETHIOPIA                  |   2378277 | Manufacturer#4            | q3R6Nm4TszRNW7PgCyCfc                    | 15-623-458-8148 | ideas. accounts haggle furiously slyly bold accounts. final pac
   9988.03 | Supplier#000030180        | ALGERIA                   |   8780171 | Manufacturer#2            | 2S BOvhIpnCg90wQHA,5,nr5ZutSn3VPpAL      | 10-176-677-8653 | e to wake. slyly final requests wake. bold pac
   9988.03 | Supplier#000030180        | ALGERIA                   |  15030179 | Manufacturer#3            | 2S BOvhIpnCg90wQHA,5,nr5ZutSn3VPpAL      | 10-176-677-8653 | e to wake. slyly final requests wake. bold pac
   9987.93 | Supplier#000497412        | KENYA                     |   6497411 | Manufacturer#3            | 89fIvleyzw,DtLjDtPSrhEeNvZE              | 24-784-546-5126 |  bold dependencies cajole. bold requests wake! quick packages sublate. always
   9987.79 | Supplier#000114890        | MOROCCO                   |   7364868 | Manufacturer#1            | h7l0MCyBDd957x                           | 25-806-362-3527 | xcuses. carefully ruthless deposits alongside of the always final acc
   9987.64 | Supplier#000334096        | ALGERIA                   |   9584068 | Manufacturer#5            | uvOyk9Bb00UZ8AKL5Up2U1jvtEliZ5E7I1DwG    | 10-738-858-2857 | lithely final requests. carefully regular instructions are slyly. courts
   9987.50 | Supplier#000368138        | MOROCCO                   |  19868099 | Manufacturer#1            | ,7,qrnB8SbLOdOWmReK6Dit tL               | 25-785-550-4972 | ckly special courts use blithely. ironic, ironic ideas w
   9987.36 | Supplier#000552045        | MOZAMBIQUE                |  17801993 | Manufacturer#1            | K,SXTc12lVoC35ECwo                       | 26-298-868-5645 | as. express, even packages haggle carefully regular requests. blithely pendi
   9986.69 | Supplier#000589208        | MOROCCO                   |  15839162 | Manufacturer#1            | ddhchBIuVHIGknM6luTz,wP                  | 25-953-719-9286 | ic requests. instructions are. blithely regular requests are carefully across the slyly regular ex
   9986.68 | Supplier#000928773        | MOROCCO                   |  17428738 | Manufacturer#2            | Ts5V3zStIaInyZEXUWOAR5GTEfS8Xxu6wW       | 25-122-288-2269 | osits cajole regularly along the pending, unusual requests. special 
   9985.89 | Supplier#000955657        | MOZAMBIQUE                |  10705646 | Manufacturer#1            | JryEZZ6rheuq,A1YTWKvIlBoAQ               | 26-772-628-9736 | nal accounts use. ironic foxes are slyly according to the slyly regular packages. ironic, ironi
   9985.89 | Supplier#000955657        | MOZAMBIQUE                |  17705639 | Manufacturer#3            | JryEZZ6rheuq,A1YTWKvIlBoAQ               | 26-772-628-9736 | nal accounts use. ironic foxes are slyly according to the slyly regular packages. ironic, ironi
   9985.60 | Supplier#000915990        | ETHIOPIA                  |    165989 | Manufacturer#5            | 1FVpONiKVq6UEpSJ1e8NiSyr                 | 15-783-665-2687 |  beans thrash blithely slyly unusual accounts: furiously ironic theodolites along the furiously ir
