 c_count | custdist 
---------+----------
       0 |  5000189
      10 |   676448
       9 |   664171
      11 |   633070
       8 |   590423
      12 |   563465
      13 |   494117
      19 |   476211
      18 |   469287
      20 |   465907
       7 |   464303
      17 |   450590
      14 |   445104
      21 |   434431
      16 |   430846
      15 |   424682
      22 |   388440
      23 |   331583
       6 |   318557
      24 |   269619
      25 |   210068
       5 |   186328
      26 |   156249
      27 |   111836
       4 |    89925
      28 |    77804
      29 |    51414
       3 |    34757
      30 |    32343
      31 |    19870
      32 |    11732
       2 |     9991
      33 |     6658
      34 |     3637
      35 |     1999
       1 |     1852
      36 |     1065
      37 |      541
      38 |      260
      39 |      115
      40 |       67
      41 |       29
      42 |       10
      43 |        5
      44 |        2
(45 rows)

COMMIT
