  p_brand   |          p_type           | p_size | supplier_cnt 
------------+---------------------------+--------+--------------
 Brand#51   | MEDIUM ANODIZED NICKEL    |     27 |          595
 Brand#14   | STANDARD ANODIZED NICKEL  |     15 |          584
 Brand#41   | MEDIUM BRUSHED COPPER     |     15 |          583
 Brand#32   | SMALL ANODIZED NICKEL     |     15 |          576
 Brand#55   | LARGE BURNISHED STEEL     |     10 |          576
 Brand#14   | LARGE BRUSHED STEEL       |     24 |          575
 Brand#25   | LARGE ANODIZED NICKEL     |      3 |          572
 Brand#35   | STANDARD BRUSHED TIN      |     24 |          572
 Brand#34   | ECONOMY ANODIZED COPPER   |     15 |          571
 Brand#53   | MEDIUM POLISHED NICKEL    |     27 |          568
 Brand#54   | STANDARD PLATED TIN       |     15 |          568
 Brand#34   | MEDIUM BRUSHED STEEL      |      5 |          567
 Brand#34   | STANDARD ANODIZED NICKEL  |     27 |          564
 Brand#41   | SMALL PLATED COPPER       |      3 |          564
 Brand#52   | SMALL BURNISHED TIN       |     24 |          564
 Brand#23   | ECONOMY PLATED NICKEL     |      3 |          563
 Brand#25   | LARGE ANODIZED STEEL      |     46 |          563
 Brand#42   | ECONOMY BRUSHED COPPER    |      5 |          562
 Brand#14   | ECONOMY BURNISHED BRASS   |      5 |          560
 Brand#44   | STANDARD BURNISHED BRASS  |     27 |          560
 Brand#21   | MEDIUM ANODIZED NICKEL    |     21 |          559
 Brand#24   | SMALL ANODIZED NICKEL     |      3 |          559
 Brand#25   | MEDIUM POLISHED STEEL     |      5 |          558
 Brand#21   | SMALL BURNISHED STEEL     |     21 |          556
 Brand#24   | LARGE BRUSHED COPPER      |     24 |          556
 Brand#34   | MEDIUM BURNISHED COPPER   |      3 |          556
 Brand#34   | PROMO ANODIZED TIN        |      5 |          556
 Brand#22   | MEDIUM POLISHED STEEL     |     27 |          555
 Brand#31   | PROMO ANODIZED TIN        |      3 |          555
 Brand#32   | PROMO PLATED NICKEL       |     24 |          555
 Brand#11   | STANDARD BRUSHED BRASS    |      5 |          552
 Brand#15   | MEDIUM PLATED NICKEL      |     24 |          552
 Brand#22   | ECONOMY POLISHED STEEL    |     46 |          552
 Brand#23   | STANDARD PLATED STEEL     |      5 |          552
 Brand#32   | ECONOMY BRUSHED STEEL     |      5 |          552
 Brand#34   | PROMO ANODIZED STEEL      |     21 |          552
 Brand#34   | SMALL PLATED NICKEL       |      3 |          552
 Brand#51   | MEDIUM BRUSHED STEEL      |      3 |          552
 Brand#53   | SMALL BRUSHED NICKEL      |      3 |          552
 Brand#54   | PROMO BURNISHED COPPER    |     15 |          552
 Brand#51   | MEDIUM POLISHED BRASS     |      3 |          550
 Brand#45   | SMALL PLATED STEEL        |     10 |          549
 Brand#11   | STANDARD PLATED TIN       |      5 |          548
 Brand#23   | SMALL ANODIZED STEEL      |      3 |          548
 Brand#24   | ECONOMY BRUSHED BRASS     |     21 |          548
 Brand#24   | LARGE ANODIZED COPPER     |      5 |          548
 Brand#24   | MEDIUM BURNISHED TIN      |     21 |          548
 Brand#25   | SMALL PLATED NICKEL       |      5 |          548
 Brand#31   | STANDARD PLATED COPPER    |     27 |          548
 Brand#32   | PROMO ANODIZED BRASS      |      5 |          548
 Brand#34   | LARGE PLATED COPPER       |     21 |          548
 Brand#41   | ECONOMY BURNISHED TIN     |     27 |          548
 Brand#43   | MEDIUM PLATED STEEL       |     10 |          548
 Brand#45   | MEDIUM PLATED STEEL       |     46 |          548
